show_id,snapshot_date,duration_minutes,duration_seasons,is_movie_flag,is_series_flag,is_new_release_flag
81145628,2019-01-01,90,0,1,0,1
81145628,2020-01-01,90,0,1,0,0
81145628,2021-01-01,90,0,1,0,0
80117401,2016-01-01,94,0,1,0,1
80117401,2017-01-01,94,0,1,0,0
80117401,2018-01-01,94,0,1,0,0
70234439,2013-01-01,0,1,0,1,1
70234439,2014-01-01,0,2,0,1,0
70234439,2015-01-01,0,3,0,1,0
80058654,2016-01-01,0,1,0,1,1
80058654,2017-01-01,0,2,0,1,0
80058654,2018-01-01,0,3,0,1,0
80125979,2017-01-01,99,0,1,0,1
80125979,2018-01-01,99,0,1,0,0
80125979,2019-01-01,99,0,1,0,0
80163890,2016-01-01,0,1,0,1,1
80163890,2017-01-01,0,2,0,1,0
80163890,2018-01-01,0,3,0,1,0
70304989,2014-01-01,110,0,1,0,1
70304989,2015-01-01,110,0,1,0,0
70304989,2016-01-01,110,0,1,0,0
80164077,2017-01-01,60,0,1,0,1
80164077,2018-01-01,60,0,1,0,0
80164077,2019-01-01,60,0,1,0,0
80117902,2017-01-01,0,1,0,1,1
80117902,2018-01-01,0,2,0,1,0
80117902,2019-01-01,0,3,0,1,0
70304990,2014-01-01,90,0,1,0,1
70304990,2015-01-01,90,0,1,0,0
70304990,2016-01-01,90,0,1,0,0
80169755,2017-01-01,78,0,1,0,1
80169755,2018-01-01,78,0,1,0,0
80169755,2019-01-01,78,0,1,0,0
70299204,2015-01-01,95,0,1,0,1
70299204,2016-01-01,95,0,1,0,0
70299204,2017-01-01,95,0,1,0,0
80182480,2009-01-01,58,0,1,0,1
80182480,2010-01-01,58,0,1,0,0
80182480,2011-01-01,58,0,1,0,0
80182483,2013-01-01,62,0,1,0,1
80182483,2014-01-01,62,0,1,0,0
80182483,2015-01-01,62,0,1,0,0
80182596,2016-01-01,65,0,1,0,1
80182596,2017-01-01,65,0,1,0,0
80182596,2018-01-01,65,0,1,0,0
80182482,2012-01-01,61,0,1,0,1
80182482,2013-01-01,61,0,1,0,0
80182482,2014-01-01,61,0,1,0,0
80182597,2017-01-01,65,0,1,0,1
80182597,2018-01-01,65,0,1,0,0
80182597,2019-01-01,65,0,1,0,0
80182481,2010-01-01,58,0,1,0,1
80182481,2011-01-01,58,0,1,0,0
80182481,2012-01-01,58,0,1,0,0
80182621,2013-01-01,60,0,1,0,1
80182621,2014-01-01,60,0,1,0,0
80182621,2015-01-01,60,0,1,0,0
80057969,2015-01-01,135,0,1,0,1
80057969,2016-01-01,135,0,1,0,0
80057969,2017-01-01,135,0,1,0,0
80060297,2014-01-01,98,0,1,0,1
80060297,2015-01-01,98,0,1,0,0
80060297,2016-01-01,98,0,1,0,0
80046728,2015-01-01,96,0,1,0,1
80046728,2016-01-01,96,0,1,0,0
80046728,2017-01-01,96,0,1,0,0
80046727,2015-01-01,79,0,1,0,1
80046727,2016-01-01,79,0,1,0,0
80046727,2017-01-01,79,0,1,0,0
70304988,2014-01-01,113,0,1,0,1
70304988,2015-01-01,113,0,1,0,0
70304988,2016-01-01,113,0,1,0,0
