country,show_id,continent,market_type
Uganda,81006594,Other,Primary
Czech Republic,80115874,Other,Primary
United States,80073823,North America,Primary
Croatia,70257413,Other,Primary
United Kingdom,80081277,Europe,Primary
United States,81024041,North America,Primary
Montenegro,80085300,Other,Primary
United Kingdom,70142888,Europe,Primary
Iran,80096786,Other,Primary
Germany,80244855,Europe,Primary
Germany,70261978,Europe,Primary
Germany,70279637,Europe,Primary
Germany,80049171,Europe,Primary
Germany,80048250,Europe,Primary
Germany,70271454,Europe,Primary
Taiwan,70142824,Other,Primary
Canada,60000878,North America,Primary
United States,80119140,North America,Primary
Australia,70202600,Oceania,Primary
United States,80187188,North America,Primary
Canada,70128695,North America,Primary
Italy,70103524,Europe,Primary
Morocco,80192627,Other,Primary
United Kingdom,70297799,Europe,Primary
Germany,80097375,Europe,Primary
France,70213073,Europe,Primary
United Kingdom,70252885,Europe,Primary
Finland,80170119,Other,Primary
Norway,80016401,Other,Primary
Germany,80108610,Europe,Primary
United States,80217121,North America,Primary
South Africa,80222025,Other,Primary
Germany,80157565,Europe,Primary
New Zealand,80007215,Other,Primary
Zimbabwe,80168084,Other,Primary
Germany,60022998,Europe,Primary
Belgium,80106984,Other,Primary
France,80170992,Europe,Primary
China,81224839,Other,Primary
Canada,80052828,North America,Primary
United States,80174451,North America,Primary
France,80058480,Europe,Primary
Denmark,80058477,Other,Primary
United States,80013474,North America,Primary
United States,81037373,North America,Primary
Sweden,81002685,Other,Primary
United States,80155475,North America,Primary
United Kingdom,70298926,Europe,Primary
Luxembourg,70285728,Other,Primary
Jordan,80182274,Other,Primary
Singapore,70248183,Other,Primary
United States,80175352,North America,Primary
Lebanon,80217848,Other,Primary
Germany,70260989,Europe,Primary
United Kingdom,80238655,Europe,Primary
United States,80061161,North America,Primary
Italy,70225722,Europe,Primary
United States,80180225,North America,Primary
Indonesia,80189853,Other,Primary
Poland,80202808,Other,Primary
South Korea,80049281,Asia,Primary
United States,70099610,North America,Primary
Indonesia,80166239,Other,Primary
Mexico,70205672,North America,Primary
Malta,80107369,Other,Primary
United Kingdom,70136129,Europe,Primary
Canada,70302614,North America,Primary
United States,70252973,North America,Primary
Canada,70177084,North America,Primary
Mexico,80095299,North America,Primary
Mexico,80156006,North America,Primary
United Kingdom,80196379,Europe,Primary
Germany,80135149,Europe,Primary
Canada,70261978,North America,Primary
Canada,70279637,North America,Primary
Canada,80049171,North America,Primary
Canada,80048250,North America,Primary
United Kingdom,70142824,Europe,Primary
Israel,80016401,Other,Primary
France,80007215,Europe,Primary
Japan,80058477,Asia,Primary
Sweden,70298926,Other,Primary
France,70285728,Europe,Primary
Mongolia,80182274,Other,Primary
United States,80189853,North America,Primary
Denmark,80202808,Other,Primary
Germany,80095299,Europe,Primary
Germany,80156006,Europe,Primary
India,81145628,Asia,Primary
United States,70304989,North America,Primary
United Kingdom,70304990,Europe,Primary
Belgium,70299204,Other,Primary
Belgium,80057969,Other,Primary
Belgium,80046728,Other,Primary
Uruguay,80046727,Other,Primary
Canada,80988892,North America,Primary
United Kingdom,80159586,Europe,Primary
France,80152447,Europe,Primary
Canada,80159880,North America,Primary
France,80052612,Europe,Primary
United Kingdom,70212504,Europe,Primary
United States,80081155,North America,Primary
United States,80198585,North America,Primary
United States,70233894,North America,Primary
France,80200087,Europe,Primary
United Kingdom,80126507,Europe,Primary
Morocco,80060037,Other,Primary
China,70270775,Other,Primary
Mexico,80244682,North America,Primary
Canada,80166318,North America,Primary
Argentina,80103311,Other,Primary
United States,80211380,North America,Primary
Canada,80115346,North America,Primary
France,80216172,Europe,Primary
Greece,80119815,Other,Primary
United Kingdom,80017275,Europe,Primary
Switzerland,70118953,Other,Primary
United States,70259208,North America,Primary
United States,80149143,North America,Primary
Canada,80037280,North America,Primary
United Kingdom,70117312,Europe,Primary
United States,80092885,North America,Primary
Canada,81174992,North America,Primary
United States,80067522,North America,Primary
Mexico,80192014,North America,Primary
Denmark,80168230,Other,Primary
United States,80188120,North America,Primary
United Kingdom,81060174,Europe,Primary
Canada,60000861,North America,Primary
United States,81137484,North America,Primary
Canada,80187228,North America,Primary
France,70099119,Europe,Primary
United States,70039185,North America,Primary
Australia,60031232,Oceania,Primary
Brazil,81137482,South America,Primary
United States,70136074,North America,Primary
United Kingdom,70112730,Europe,Primary
Belgium,81005312,Other,Primary
Germany,81014988,Europe,Primary
France,80184974,Europe,Primary
Senegal,80061314,Other,Primary
Soviet Union,80157134,Other,Primary
Spain,80141891,Europe,Primary
Hong Kong,80183897,Other,Primary
Italy,80121855,Europe,Primary
Uruguay,80168028,Other,Primary
United States,80200913,North America,Primary
Norway,80114155,Other,Primary
United States,80102579,North America,Primary
Ukraine,80031666,Other,Primary
United States,80025390,North America,Primary
South Africa,80041653,Other,Primary
India,80170301,Asia,Primary
United States,80240840,North America,Primary
Hong Kong,80164032,Other,Primary
Canada,81004460,North America,Primary
France,80199806,Europe,Primary
India,80191963,Asia,Primary
Belgium,80224362,Other,Primary
United States,80244679,North America,Primary
Indonesia,80067754,Other,Primary
United States,80094648,North America,Primary
Germany,80066073,Europe,Primary
Belgium,80123741,Other,Primary
China,70082255,Other,Primary
Poland,80990221,Other,Primary
United States,80202352,North America,Primary
Portugal,80235268,Other,Primary
United Kingdom,80241061,Europe,Primary
Czech Republic,80185048,Other,Primary
United States,80081372,North America,Primary
United Kingdom,81078456,Europe,Primary
Malaysia,81075461,Other,Primary
Luxembourg,80017261,Other,Primary
China,81071891,Other,Primary
Spain,70295169,Europe,Primary
Austria,81043190,Other,Primary
United States,81035748,North America,Primary
Bulgaria,80218973,Other,Primary
United States,80236778,North America,Primary
West Germany,80236357,Other,Primary
Luxembourg,81034575,Other,Primary
Argentina,80226951,Other,Primary
Canada,80232279,North America,Primary
China,80144152,Other,Primary
United Kingdom,81035749,Europe,Primary
United States,80148162,North America,Primary
China,70125931,Other,Primary
United Kingdom,80043834,Europe,Primary
United States,70271601,North America,Primary
Denmark,80089199,Other,Primary
Poland,80992769,Other,Primary
Spain,80142617,Europe,Primary
United Arab Emirates,80190841,Other,Primary
India,80115858,Asia,Primary
Malaysia,80158547,Other,Primary
India,80211540,Asia,Primary
France,80080727,Europe,Primary
France,80075009,Europe,Primary
Jordan,80148070,Other,Primary
France,80155812,Europe,Primary
United States,80158148,North America,Primary
France,80239565,Europe,Primary
Israel,80240972,Other,Primary
France,81038598,Europe,Primary
France,80147323,Europe,Primary
Iceland,80210932,Other,Primary
United Kingdom,70245168,Europe,Primary
France,81168338,Europe,Primary
Germany,60002273,Europe,Primary
United Kingdom,347365,Europe,Primary
Germany,60003242,Europe,Primary
Germany,70023961,Europe,Primary
Canada,70065112,North America,Primary
United Kingdom,70095135,Europe,Primary
West Germany,81168340,Other,Primary
United States,60003540,North America,Primary
France,70170051,Europe,Primary
United States,60001761,North America,Primary
Malta,60034571,Other,Primary
Sweden,80215922,Other,Primary
Canada,81018565,North America,Primary
United States,81012427,North America,Primary
United States,81025908,North America,Primary
United Kingdom,70039175,Europe,Primary
Australia,70150437,Oceania,Primary
Canada,80062096,North America,Primary
Canada,70197459,North America,Primary
Canada,80095193,North America,Primary
Canada,80191075,North America,Primary
Italy,80147971,Europe,Primary
Brazil,70257412,South America,Primary
Ireland,80150246,Other,Primary
France,80017272,Europe,Primary
France,80116741,Europe,Primary
Belgium,80063290,Other,Primary
United Kingdom,80187223,Europe,Primary
